Cluster,AegPupae,DevelopmentSites
1,113,67
2,73,86
3,180,88
4,43,48
5,97,60
6,137,47
7,108,60
8,349,95
9,124,103
10,127,79
11,222,45
12,84,79
13,50,32
14,467,181
15,226,132
16,120,65
17,254,110
18,59,38
19,180,96
20,102,52
21,137,91
22,9,29
23,405,190
24,263,120
25,82,65
26,155,112
27,59,47
28,133,75
29,225,83
30,1122,194
31,391,94
32,180,131
33,312,228
34,110,79
35,49,49
36,56,59
37,484,133
38,188,148
39,123,101
40,67,54
41,100,93
42,103,68
43,249,102
44,212,110
45,301,152
46,261,122
47,54,91
48,55,41
49,192,98
50,52,67
51,226,65
52,23,29
53,13,27
54,22,31
55,126,85
56,193,86
57,127,84
58,84,61
59,134,46
60,180,88
61,31,26
62,287,162
63,244,123
64,69,65
65,244,120
66,38,53
67,119,90
68,75,46
69,123,97
70,11,28
71,670,208
72,114,136
73,70,100
74,203,143
75,24,61
76,167,107
77,22,34
78,73,57
79,343,152
80,209,116
81,137,64
82,438,81
83,141,93
84,577,185
